일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-02,서산(129),X,28.4,28.8,23.5,18,68.6,X, ,X,높음
2022-09-02,울진(130),X,26.7,24.7,21.5,17.1,86.5,X, ,X,보통
2022-09-02,청주(131),X,28.6,29.6,24.3,19.1,64.3,X, ,X,높음
2022-09-02,대전(133),X,27.7,27.3,22.6,18.1,72,X, ,X,높음
2022-09-02,추풍령(135),X,24.6,23.1,20.3,16,80.8,X, ,X,높음
2022-09-02,안동(136),X,26.6,26.4,21.5,16.2,76.6,X, ,X,높음
2022-09-02,상주(137),X,27.6,26.7,22.1,18.6,81.3,X, ,X,높음
2022-09-02,포항(138),X,26.3,24.2,22.1,21,90.6,X, ,X,보통
2022-09-02,군산(140),X,28.4,27.9,23.5,19.9,72.4,X, ,X,높음
2022-09-02,대구(143),X,26.3,24.2,21.5,18.8,91.1,X, ,X,보통
2022-09-02,전주(146),X,28.2,27.7,23,18.2,74.9,X, ,X,높음
2022-09-02,울산(152),X,25.7,23.3,21.2,20.2,95.1,X, ,X,보통
2022-09-02,창원(155),X,23.9,22,20.8,19.7,84.8,X, ,X,보통
2022-09-02,광주(156),X,28.9,27.1,23.1,20.1,88.3,X, ,X,높음
2022-09-02,부산(159),X,25.4,22.3,20.9,20,96.9,X, ,X,낮음
2022-09-02,통영(162),X,25.6,22.7,21.2,19.9,97.5,X, ,X,낮음
2022-09-02,목포(165),X,28.1,26.9,23.4,20.6,77.3,X, ,X,보통
2022-09-02,여수(168),X,24.3,22.5,21.6,20.8,84.3,X, ,X,보통
2022-09-02,흑산도(169),X,27.3,25.6,22.7,20.9,86.3,X, ,X,높음
2022-09-02,완도(170),X,25.8,23.4,22.4,21.3,86.1,X, ,X,보통
2022-09-02,고창(172),X,28.7,27.9,22.8,18,77.9,X, ,X,높음
2022-09-02,제주(184),X,27.4,25,23.2,21.9,95.4,X, ,X,낮음
2022-09-02,진주(192),X,24.8,22.2,20.6,19.2,93.8,X, ,X,보통
2022-09-02,양평(202),X,28.5,29.2,23.1,17.8,66.6,X, ,X,높음
2022-09-02,이천(203),X,29.3,29.5,22.8,17.5,75.3,X, ,X,높음
2022-09-02,인제(211),X,27.2,27.6,19.8,13.8,76.3,X, ,X,높음
2022-09-02,홍천(212),X,28,29.2,21.9,15.9,68.4,X, ,X,높음
